order_id,order_placed_at,order_delivered_at
1523111,01-03-2023 00:00,18:07.4
1523112,01-03-2023 00:03,19:34.9
1523113,01-03-2023 00:07,22:28.3
1523114,01-03-2023 00:07,46:19.0
1523115,01-03-2023 00:09,25:13.6
1523116,01-03-2023 00:09,25:17.1
1523117,01-03-2023 00:11,41:54.2
1523118,01-03-2023 00:13,30:38.6
1523119,01-03-2023 00:15,30:28.2
1523120,01-03-2023 00:15,31:53.0
1523121,01-03-2023 00:21,36:48.8
1523122,01-03-2023 00:22,37:33.1
1523123,01-03-2023 00:25,41:35.4
1523124,01-03-2023 00:29,44:16.5
1523125,01-03-2023 00:30,46:41.8
1523126,01-03-2023 00:37,52:57.8
1523127,01-03-2023 00:37,01:14.6
1523128,01-03-2023 00:41,56:32.1
1523129,01-03-2023 00:43,03:52.0
1523130,01-03-2023 00:51,08:04.7
1523131,01-03-2023 00:54,10:11.6
1523132,01-03-2023 01:03,18:47.1
1523133,01-03-2023 01:07,27:43.8
1523134,01-03-2023 01:09,25:23.8
1523135,01-03-2023 01:11,07:54.6
1523136,01-03-2023 01:14,29:16.6
1523137,01-03-2023 01:15,31:00.9
1523138,01-03-2023 01:16,31:34.7
1523139,01-03-2023 01:16,32:10.4
1523140,01-03-2023 01:17,32:50.0
1523141,01-03-2023 01:17,33:02.6
1523142,01-03-2023 01:18,34:00.3
1523143,01-03-2023 01:19,35:42.2
1523144,01-03-2023 01:29,45:09.6
1523145,01-03-2023 01:32,47:29.1
1523146,01-03-2023 01:33,48:35.9
1523147,01-03-2023 01:34,51:05.8
1523148,01-03-2023 01:35,55:46.3
1523149,01-03-2023 01:36,52:05.7
1523150,01-03-2023 01:39,55:19.9
1523151,01-03-2023 01:40,55:52.4
1523152,01-03-2023 01:43,58:39.3
1523153,01-03-2023 01:46,02:35.2
1523154,01-03-2023 01:47,08:47.2
1523155,01-03-2023 01:51,07:15.3
1523156,01-03-2023 01:56,14:11.9
1523157,01-03-2023 01:57,18:09.1
1523158,01-03-2023 01:57,30:19.9
1523159,01-03-2023 01:59,14:15.7
1523160,01-03-2023 02:00,16:11.1
1523161,01-03-2023 02:02,17:50.2
1523162,01-03-2023 02:05,22:46.0
1523163,01-03-2023 02:05,24:39.3
1523164,01-03-2023 02:05,21:00.9
1523165,01-03-2023 02:06,22:00.4
1523166,01-03-2023 02:08,26:30.5
1523167,01-03-2023 02:14,29:52.2
1523168,01-03-2023 02:16,33:34.0
1523169,01-03-2023 02:19,39:58.9
1523170,01-03-2023 02:23,39:32.1
1523171,01-03-2023 02:23,38:52.6
1523172,01-03-2023 02:23,42:30.5
1523173,01-03-2023 02:24,49:45.7
1523174,01-03-2023 02:30,45:25.8
1523175,01-03-2023 02:31,55:45.9
1523176,01-03-2023 02:32,47:47.5
1523177,01-03-2023 02:35,50:47.4
1523178,01-03-2023 02:35,52:11.2
1523179,01-03-2023 02:36,52:06.4
1523180,01-03-2023 02:42,57:15.4
1523181,01-03-2023 02:43,59:14.7
1523182,01-03-2023 02:45,02:00.1
1523183,01-03-2023 02:52,11:56.8
1523184,01-03-2023 02:57,14:17.7
1523185,01-03-2023 02:58,14:38.1
1523186,01-03-2023 03:02,24:36.8
1523187,01-03-2023 03:05,35:47.2
1523188,01-03-2023 03:07,23:24.4
